編輯總資料庫
,成語,出處,頻次
184,一毛不拔,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[O(下)]:讀成語寫作文(上)(下)
[P(上)]:成語分類辭典(上)(下)
[Q]:繪圖成語故事三百篇(上)(中)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[X]:常用成語用法
[Y]:新編成語故事
[Z]:成語辨正辭典
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",27
185,一毛之見,"[S]:活用成語分類辭典(上)(下)",1
186,一毛片甲,"[J]:漢語成語考釋詞典",1
187,一水隔,"[J]:漢語成語考釋詞典",1
188,一片丹心,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[V]:中國成語大辭典",3
189,一片心旌,"[B]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",3
190,一片冰心,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",13
191,一片至誠,"[K]:中國成語大辭典",1
192,一片汪洋,"[K]:中國成語大辭典",1
193,一片赤心,"[K]:中國成語大辭典",1
194,一片宮商,"[K]:中國成語大辭典
[V]:中國成語大辭典",2
195,一片散沙,"[K]:中國成語大辭典",1
196,一片焦土,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",4
197,一牛之失,"[AC]:成語典",1
198,一牛吼地,"[B]:中國成語大辭典
[K]:中國成語大辭典",2
199,一牛獨坐看文章,"[AC]:成語典",1
200,一犬吠形，百犬吠聲,"[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[P(下)]:成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AA]:成語典故文選(上)(下)
[AC]:成語典",8
201,一犬吠影,"[T]:成語辨正辭典",1
202,一犬吠影百犬吠聲,"[B]:中國成語大辭典",1
203,一犬吠影，百犬吠聲,"[I]:實用分類學生成語辭典(上)(下)",1
204,一世之雄,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",10
205,一世師表,"[W]:成語大辭典(上)(下)",1
206,一世龍門,"[G(2)]:實用成語辭典
[J]:漢語成語考釋詞典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",5
207,一丘,"[J]:漢語成語考釋詞典",1
208,一丘一壑,"[B]:中國成語大辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AC]:成語典",4
209,一丘之貉,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[M]:(小學生語文學習文庫)成語中的知識第一輯(一)~(四)加附錄
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[Q]:繪圖成語故事三百篇(上)(中)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[X]:常用成語用法
[Y]:新編成語故事
[Z]:成語辨正辭典
[AA]:成語典故文選(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",27
210,一丘貉,"[J]:漢語成語考釋詞典",1
211,一丘壑,"[J]:漢語成語考釋詞典",1
