編輯總資料庫
,成語,出處,頻次
30704,苦辣酸甜,"[J]:漢語成語考釋詞典",1
30705,苦樂不均,"[B]:中國成語大辭典",1
30706,苦藥利病,"[AC]:成語典",1
30707,苫眼鋪眉,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30708,苫塊,"[J]:漢語成語考釋詞典",1
30709,英才,"[O(下)]:讀成語寫作文(上)(下)",1
30710,英才大略,"[J]:漢語成語考釋詞典",1
30711,英年玉折,"[S]:活用成語分類辭典(上)(下)",1
30712,英俊滿灑,"[O(下)]:讀成語寫作文(上)(下)",1
30713,英俊豪傑,"[V]:中國成語大辭典
[AC]:成語典",2
30714,英姿煥發,"[E]:成語辭典
[O(下)]:讀成語寫作文(上)(下)
[U]:同義反義成語詞典
[AB]:漢英對照成語辭典",4
30715,英姿颯爽,"[E]:成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[U]:同義反義成語詞典",5
30716,英姿邁往,"[K]:中國成語大辭典",1
30717,英持邁往,"[K]:中國成語大辭典",1
30718,英風凜凜,"[J]:漢語成語考釋詞典",1
30719,英雄末路,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典",4
30720,英雄本色,"[J]:漢語成語考釋詞典",1
30721,英雄志短，兒女情長,"[J]:漢語成語考釋詞典",1
30722,英雄所見略同,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AB]:漢英對照成語辭典
[AC]:成語典",4
30723,英雄氣短,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",14
30724,英雄氣短，兒女情長,"[P(下)]:成語分類辭典(上)(下)",1
30725,英雄無用武之地,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[O(下)]:讀成語寫作文(上)(下)
[P(上)]:成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AA]:成語典故文選(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典
[AD]:洪葉活用成語辭典",15
30726,英雄短氣,"[K]:中國成語大辭典",1
30727,英雄識英雄,"[AC]:成語典",1
30728,英雄難過美人關,"[G(2)]:實用成語辭典
[V]:中國成語大辭典",2
30729,英華發外,"[G(2)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",3
30730,英聲茂實,"[K]:中國成語大辭典",1
30731,英靈不泯,"[S]:活用成語分類辭典(上)(下)",1
30732,苴漏,"[J]:漢語成語考釋詞典",1
30733,茂林修竹,"[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典
[V]:中國成語大辭典",3
30734,茂實英聲,"[K]:中國成語大辭典",1
30735,范張雞黍,"[A]:彩圖典故辭典(精)
[K]:中國成語大辭典",2
30736,茅拔,"[J]:漢語成語考釋詞典",1
30737,茅拔茹連,"[J]:漢語成語考釋詞典",1
30738,茅室土階,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30739,茅茨,"[J]:漢語成語考釋詞典",1
30740,茅茨土階,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",9
30741,茅塞,"[A]:彩圖典故辭典(精)
[AA]:成語典故文選(上)(下)",2
30742,茅塞頓啟,"[J]:漢語成語考釋詞典",1
30743,茅塞頓開,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[O(下)]:讀成語寫作文(上)(下)
[P(上)]:成語分類辭典(上)(下)
[R]:新編兒童成語小百科(1)~(12)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",18
30744,茅檐蓬戶,"[J]:漢語成語考釋詞典",1
30745,茅廬三顧,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30746,茌苻不靖,"[G(2)]:實用成語辭典",1
30747,虞芮息訟,"[A]:彩圖典故辭典(精)",1
30748,號天叩地,"[K]:中國成語大辭典",1
30749,號天扣地,"[K]:中國成語大辭典",1
30750,號令如山,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",7
30751,號咷大哭,"[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典",2
30752,號啕大哭,"[G(2)]:實用成語辭典
[O(上)]:讀成語寫作文(上)(下)",2
30753,號寒啼飢,"[E]:成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",6
30754,號寒啼饑,"[B]:中國成語大辭典",1
30755,蛇口蜂針,"[B]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",4
30756,蛇心佛口,"[K]:中國成語大辭典",1
30757,蛇行,"[AC]:成語典",1
30758,蛇行匍伏,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",5
30759,蛇吞象,"[AB]:漢英對照成語辭典
[AC]:成語典",2
30760,蛇豕,"[J]:漢語成語考釋詞典",1
30761,蛇足,"[J]:漢語成語考釋詞典",1
30762,蛇身人面,"[AC]:成語典",1
30763,蛇兔聯盟,"[B]:中國成語大辭典
[AC]:成語典",2
30764,蛇虺魍魎,"[S]:活用成語分類辭典(上)(下)",1
30765,蛇神牛鬼,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30766,蛇蚓,"[J]:漢語成語考釋詞典",1
30767,蛇雀之報,"[AC]:成語典",1
30768,蛇無頭不行,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[J]:漢語成語考釋詞典
[AC]:成語典",4
30769,蛇鼠橫行,"[B]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",3
30770,蛇影,"[J]:漢語成語考釋詞典",1
30771,蛇影杯弓,"[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[V]:中國成語大辭典
[AC]:成語典",4
30772,蛇蝎,"[AC]:成語典",1
30773,蛇蝎心腸,"[J]:漢語成語考釋詞典
[U]:同義反義成語詞典",2
30774,蛇蝎其心,"[J]:漢語成語考釋詞典",1
30775,衒玉求售,"[D]:簡明實用成語辭典
[G(2)]:實用成語辭典
[V]:中國成語大辭典",3
30776,衒玉賈石,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",5
30777,衒材揚己,"[K]:中國成語大辭典",1
30778,衒鬻,"[AC]:成語典",1
30779,術有專精,"[S]:活用成語分類辭典(上)(下)",1
30780,術妙軒岐,"[S]:活用成語分類辭典(上)(下)",1
30781,術愧長房,"[B]:中國成語大辭典
[AC]:成語典",2
30782,袍笏登場,"[B]:中國成語大辭典
[E]:成語辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",9
30783,袍澤,"[P(上)]:成語分類辭典(上)(下)",1
30784,袍澤之誼,"[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[AC]:成語典",3
30785,袒愓裸裎,"[S]:活用成語分類辭典(上)(下)",1
30786,袒禓裸裎,"[J]:漢語成語考釋詞典",1
30787,袒裼裸裎,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[K]:中國成語大辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",7
30788,袖手旁觀,"[B]:中國成語大辭典
[C]:經典成語
[D]:簡明實用成語辭典
[E]:成語辭典
[F]:小牛頓成語辭典(注音普及版)
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[R]:新編兒童成語小百科(1)~(12)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[X]:常用成語用法
[AA]:成語典故文選(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",21
30789,袖手傍觀,"[K]:中國成語大辭典",1
30790,袖手無策,"[J]:漢語成語考釋詞典",1
30791,袞哀諸公,"[K]:中國成語大辭典",1
30792,袞袞群公,"[J]:漢語成語考釋詞典",1
30793,袞袞諸公,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[N]:遠流活用成語辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[Z]:成語辨正辭典
[AC]:成語典",10
30794,袨服靘妝,"[J]:漢語成語考釋詞典",1
30795,袪衣請業,"[V]:中國成語大辭典",1
30796,袪蠹除奸,"[K]:中國成語大辭典",1
30797,被山帶河,"[B]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",5
30798,被山被河,"[K]:中國成語大辭典",1
30799,被甲枕戈,"[K]:中國成語大辭典",1
30800,被甲執兵,"[K]:中國成語大辭典",1
30801,被災蒙禍,"[K]:中國成語大辭典",1
30802,被矩方圓,"[W]:成語大辭典(上)(下)",1
30803,被堅執銳,"[B]:中國成語大辭典
[K]:中國成語大辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",5
30804,被發文身,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30805,被發左衽,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30806,被發佯狂,"[K]:中國成語大辭典",1
30807,被發拊膺,"[K]:中國成語大辭典",1
30808,被發徒跣,"[K]:中國成語大辭典",1
30809,被發陽狂,"[K]:中國成語大辭典",1
30810,被發詳狂,"[K]:中國成語大辭典",1
30811,被發纓冠,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30812,被褐懷玉,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",9
30813,被褐懷珠,"[K]:中國成語大辭典",1
30814,被髮入山,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",6
30815,被髮文身,"[G(1)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",3
30816,被髮左,"[AC]:成語典",1
30817,被髮左衽,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[N]:遠流活用成語辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",7
30818,被髮佯狂,"[G(2)]:實用成語辭典",1
30819,被髮攖冠,"[B]:中國成語大辭典",1
30820,被髮纓冠,"[G(1)]:實用成語辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",3
30821,被澤蒙庥,"[K]:中國成語大辭典",1
30822,被寵若驚,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30823,規行矩上,"[K]:中國成語大辭典",1
30824,規行矩步,"[B]:中國成語大辭典
[E]:成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",8
30825,規言矩步,"[K]:中國成語大辭典",1
30826,規重矩疊,"[K]:中國成語大辭典",1
30827,規矩方圓,"[G(2)]:實用成語辭典",1
30828,規矩准繩,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30829,規矩準繩,"[B]:中國成語大辭典
[V]:中國成語大辭典
[AC]:成語典",3
30830,規矩鉤繩,"[K]:中國成語大辭典",1
30831,規矩繩墨,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30832,規圓矩方,"[B]:中國成語大辭典
[AC]:成語典",2
30833,規圜矩方,"[K]:中國成語大辭典",1
30834,覓衣求食,"[K]:中國成語大辭典",1
30835,覓柳尋花,"[K]:中國成語大辭典",1
30836,覓愛追歡,"[K]:中國成語大辭典",1
30837,覓跡尋蹤,"[J]:漢語成語考釋詞典",1
30838,覓縫鉆頭,"[J]:漢語成語考釋詞典",1
30839,視人如子,"[K]:中國成語大辭典",1
30840,視人如傷,"[K]:中國成語大辭典",1
30841,視丹如綠,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30842,視之不見，聽之不聞,"[K]:中國成語大辭典",1
30843,視日如歲,"[J]:漢語成語考釋詞典",1
30844,視民如子,"[K]:中國成語大辭典",1
30845,視民如傷,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[AC]:成語典",9
30846,視同土芥,"[G(2)]:實用成語辭典
[W]:成語大辭典(上)(下)",2
30847,視同兒戲,"[B]:中國成語大辭典
[E]:成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[O(上)]:讀成語寫作文(上)(下)
[P(上)]:成語分類辭典(上)(下)
[T]:成語辨正辭典
[AC]:成語典",8
30848,視同陌路,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30849,視同秦越,"[K]:中國成語大辭典",1
30850,視同路人,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[N]:遠流活用成語辭典
[T]:成語辨正辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",9
30851,視如土芥,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30852,視如至寶,"[J]:漢語成語考釋詞典",1
30853,視如畏途,"[J]:漢語成語考釋詞典",1
30854,視如秕糠,"[J]:漢語成語考釋詞典",1
30855,視如浮雲,"[S]:活用成語分類辭典(上)(下)",1
30856,視如寇仇,"[E]:成語辭典
[K]:中國成語大辭典
[U]:同義反義成語詞典",3
30857,視如途人,"[J]:漢語成語考釋詞典",1
30858,視如敝屣,"[E]:成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[U]:同義反義成語詞典",5
30859,視如敝蹝,"[S]:活用成語分類辭典(上)(下)",1
30860,視如草芥,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30861,視如路人,"[J]:漢語成語考釋詞典
[AB]:漢英對照成語辭典",2
30862,視如糞土,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30863,視如蔽屣,"[AB]:漢英對照成語辭典",1
30864,視死如生,"[K]:中國成語大辭典
[V]:中國成語大辭典",2
30865,視死如飴,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30866,視死如歸,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[T]:成語辨正辭典
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",17
30867,視死若歸,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30868,視而不見,"[E]:成語辭典
[G(1)]:實用成語辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",9
30869,視而不見，聽而不聞,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[P(下)]:成語分類辭典(上)(下)",3
30870,視而弗見，聽而弗聞,"[K]:中國成語大辭典",1
30871,視為兒戲,"[J]:漢語成語考釋詞典",1
30872,視為具文,"[J]:漢語成語考釋詞典",1
30873,視為知己,"[E]:成語辭典",1
30874,視為畏途,"[E]:成語辭典
[H]:活用造句辭典(成語部分)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[U]:同義反義成語詞典",6
30875,視若土苴,"[J]:漢語成語考釋詞典",1
30876,視若兒戲,"[K]:中國成語大辭典",1
30877,視若具文,"[B]:中國成語大辭典
[V]:中國成語大辭典
[AC]:成語典",3
30878,視若神明,"[J]:漢語成語考釋詞典",1
30879,視若無睹,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[O(下)]:讀成語寫作文(上)(下)
[S]:活用成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",13
30880,視若草芥,"[U]:同義反義成語詞典",1
30881,視若路人,"[K]:中國成語大辭典",1
30882,視微知著,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30883,視溺不援,"[J]:漢語成語考釋詞典",1
30884,視蝨如輪,"[P(上)]:成語分類辭典(上)(下)",1
30885,視嶮若夷,"[J]:漢語成語考釋詞典",1
30886,視錢如命,"[S]:活用成語分類辭典(上)(下)",1
30887,視險如夷,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30888,視險若夷,"[K]:中國成語大辭典",1
30889,視瞻不轉,"[J]:漢語成語考釋詞典",1
30890,訛以傳訛,"[J]:漢語成語考釋詞典",1
30891,訛言惑眾,"[K]:中國成語大辭典",1
30892,訛言謊語,"[K]:中國成語大辭典",1
30893,訪戴,"[A]:彩圖典故辭典(精)",1
30894,設心積慮,"[J]:漢語成語考釋詞典",1
30895,設言托意,"[K]:中國成語大辭典",1
30896,設言託意,"[AC]:成語典",1
30897,設身處地,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[O(下)]:讀成語寫作文(上)(下)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",14
30898,設官分職,"[G(2)]:實用成語辭典",1
30899,設弧之辰,"[B]:中國成語大辭典
[AC]:成語典",2
30900,設法把它想通,"[AB]:漢英對照成語辭典",1
30901,設帨良辰,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[AC]:成語典",4
30902,設帳,"[P(上)]:成語分類辭典(上)(下)",1
30903,設張舉措,"[K]:中國成語大辭典",1
30904,許友以死,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[AC]:成語典",3
30905,許由掛瓢,"[A]:彩圖典故辭典(精)",1
30906,許身報國,"[B]:中國成語大辭典
[AC]:成語典",2
30907,豚兒犬子,"[AC]:成語典",1
30908,豚蹄禳田,"[AA]:成語典故文選(上)(下)",1
30909,豚蹄穰田,"[B]:中國成語大辭典
[V]:中國成語大辭典
[AC]:成語典",3
30910,貧不擇妻,"[B]:中國成語大辭典
[G(2)]:實用成語辭典
[AC]:成語典",3
30911,貧而無諂,"[K]:中國成語大辭典",1
30912,貧來親也疏,"[AB]:漢英對照成語辭典",1
30913,貧居鬧市無人問，富在深山有遠親,"[AC]:成語典",1
30914,貧病交攻,"[K]:中國成語大辭典",1
30915,貧病交迫,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(上)]:成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",9
30916,貧病相連,"[B]:中國成語大辭典
[V]:中國成語大辭典",2
30917,貧真價實,"[N]:遠流活用成語辭典",1
30918,貧富懸殊,"[K]:中國成語大辭典",1
30919,貧無立錐,"[K]:中國成語大辭典
[N]:遠流活用成語辭典",2
30920,貧無立錐之地,"[E]:成語辭典
[AB]:漢英對照成語辭典",2
30921,貧嘴淺舌,"[K]:中國成語大辭典",1
30922,貧嘴賤舌,"[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",4
30923,貧嘴餓舌,"[AC]:成語典",1
30924,貧嘴薄舌,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[J]:漢語成語考釋詞典
[V]:中國成語大辭典",5
30925,貧賤不能移,"[D]:簡明實用成語辭典
[G(2)]:實用成語辭典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",7
30926,貧賤之交,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",8
30927,貧賤之交不可忘，糟糠之妻不下堂,"[AA]:成語典故文選(上)(下)",1
30928,貧賤之知,"[K]:中國成語大辭典",1
30929,貧賤夫妻百世哀,"[W]:成語大辭典(上)(下)",1
30930,貧賤夫妻百事哀,"[G(1)]:實用成語辭典
[AB]:漢英對照成語辭典
[AC]:成語典",3
30931,貧賤糟糠,"[K]:中國成語大辭典",1
30932,貧賤驕人,"[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[V]:中國成語大辭典
[AC]:成語典",5
30933,貨如輪轉,"[AB]:漢英對照成語辭典",1
30934,貨悖而入者，亦悖而出,"[AC]:成語典",1
30935,貨真價實,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[K]:中國成語大辭典
[P(下)]:成語分類辭典(上)(下)
[S]:活用成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",10
30936,貨財廣殖,"[S]:活用成語分類辭典(上)(下)",1
30937,貨殖,"[AC]:成語典",1
30938,貨殖流芳,"[S]:活用成語分類辭典(上)(下)",1
30939,貨賂公行,"[K]:中國成語大辭典",1
30940,貨賄公行,"[K]:中國成語大辭典",1
30941,貨暢其流,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",5
30942,貨賣當時,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)",2
30943,販夫走卒,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",8
30944,販夫俗子,"[K]:中國成語大辭典",1
30945,販官鬻爵,"[K]:中國成語大辭典",1
30946,貪人敗類,"[AC]:成語典",1
30947,貪小失大,"[B]:中國成語大辭典
[C]:經典成語
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[L]:小叮噹漫書成語小百科(1)~(10)
[N]:遠流活用成語辭典
[Q]:繪圖成語故事三百篇(上)(中)(下)
[R]:新編兒童成語小百科(1)~(12)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AA]:成語典故文選(上)(下)
[AC]:成語典
[AD]:洪葉活用成語辭典",16
30948,貪天之功,"[B]:中國成語大辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[Q]:繪圖成語故事三百篇(上)(中)(下)
[AD]:洪葉活用成語辭典",9
30949,貪天之功，據為己有,"[P(下)]:成語分類辭典(上)(下)",1
30950,貪夫徇財,"[K]:中國成語大辭典",1
30951,貪夫殉財,"[B]:中國成語大辭典
[G(1)]:實用成語辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",5
30952,貪心不足,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[K]:中國成語大辭典
[O(上)]:讀成語寫作文(上)(下)
[V]:中國成語大辭典
[AC]:成語典",6
30953,貪心妄想,"[K]:中國成語大辭典",1
30954,貪心無厭,"[K]:中國成語大辭典",1
30955,貪他一斗米，失卻半年糧,"[AB]:漢英對照成語辭典",1
30956,貪功起釁,"[K]:中國成語大辭典",1
30957,貪失殉財,"[I]:實用分類學生成語辭典(上)(下)",1
30958,貪生怕死,"[B]:中國成語大辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[P(上)]:成語分類辭典(上)(下)
[U]:同義反義成語詞典
[W]:成語大辭典(上)(下)
[AC]:成語典",8
30959,貪生舍義,"[K]:中國成語大辭典",1
30960,貪生畏死,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30961,貪生害義,"[K]:中國成語大辭典",1
30962,貪生惡死,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典",2
30963,貪吃懶做,"[K]:中國成語大辭典
[AC]:成語典",2
30964,貪名逐利,"[K]:中國成語大辭典",1
30965,貪名圖利,"[K]:中國成語大辭典",1
30966,貪吏猾胥,"[K]:中國成語大辭典",1
30967,貪多務得,"[B]:中國成語大辭典
[E]:成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",8
30968,貪多務廣,"[J]:漢語成語考釋詞典",1
30969,貪多無厭,"[S]:活用成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AC]:成語典",3
30970,貪多嚼不爛,"[B]:中國成語大辭典
[E]:成語辭典
[G(2)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[AC]:成語典",7
30971,貪求無已,"[K]:中國成語大辭典",1
30972,貪求無厭,"[K]:中國成語大辭典",1
30973,貪汙腐化,"[K]:中國成語大辭典",1
30974,貪污腐化,"[AB]:漢英對照成語辭典",1
30975,貪而無信,"[K]:中國成語大辭典",1
